#Version: 
#Glossary type: Plant
#Source: foc_v9_jing_20130501080458, Plant_fna_jing_v19_v20 (merged from: fna2_v19_jing_20130227141308, fna2_v20_jing_20130228082452), foc_v8_jing_20130430113241, foc_v10_jing_20130409171802, foc_v11_jing_20130502111907, foc_v12_jing_20130502141840, foc_v13_jing_20130503115239, foc_v14_jing_20130506091135, foc_v18_jing_20130711164425, foc_v2021_jing_20130507150953, foc_v22_jing_20130710082723, foc_v23_jing_20130507134321, foc_v24_jing_20130711072108, foc_v25_jing_20130508081633, foc_v4_jing_20130416123440, foc_v5_jing_20130425141012, foc_v6_jing_20130515110950, foc_v7_jing_20130426135157, foc_v8_jing_20130430091947, fna2_v21_jing_20130228140000, fna2_v22_jing_20130301080941, fna2_v23_jing_20130301113018, fna2_v26_jing_20130314134608, fna2_v27_jing_20130314153702, fna2_v2_jing_20130402084106, fna2_v3_jing_20130314110323, fna2_v4_jing_20130225160038, fna2_v5_jing_20130226072402, fna2_v7_jing_20130226143722, fna2_v8_jing_20130227093016
#Finalized by: Fengqiong Huang
#Date: 
#Reviewers: treatise  ,Gordon Burleigh,Heather Cole,Heather Cole,Hong Cui,Lorena  Endara,OTO System
#Source producer: Hong Cui

"term","category","hasSyn","sourceDataset","termID"
"campanulate","shape","0","foc_v2021_jing_20130507150953,foc_v9_jing_20130501080458,foc_v11_jing_20130502111907","4a933328-1cea-40b9-bbde-b7ec33ff7899"
"cupshaped","shape","0","foc_v9_jing_20130501080458","4baa8ca4-1ea1-11e4-befc-00266c1d496f"
"achenes","structure","0","fna2_v22_jing_20130301080941,foc_v2021_jing_20130507150953,foc_v9_jing_20130501080458,fna2_v3_jing_20130314110323,fna2_v19_jing_20130227141308,foc_v6_jing_20130515110950,fna2_v4_jing_20130225160038,foc_v5_jing_20130425141012,fna2_v23_jing_20130301113018,foc_v7_jing_20130426135157,foc_v23_jing_20130507134321","4baa900c-1ea1-11e4-befc-00266c1d496f"
"anthers","structure","0","fna2_v4_jing_20130225160038,foc_v6_jing_20130515110950,fna2_v21_jing_20130228140000,fna2_v8_jing_20130227093016,foc_v9_jing_20130501080458,foc_v2021_jing_20130507150953,fna2_v22_jing_20130301080941,fna2_v26_jing_20130314134608,foc_v11_jing_20130502111907,foc_v24_jing_20130711072108,foc_v10_jing_20130409171802,fna2_v7_jing_20130226143722,fna2_v20_jing_20130228082452,foc_v23_jing_20130507134321,foc_v4_jing_20130416123440,foc_v8_jing_20130430091947,foc_v12_jing_20130502141840,foc_v8_jing_20130430113241,foc_v18_jing_20130711164425,fna2_v19_jing_20130227141308,foc_v5_jing_20130425141012,foc_v14_jing_20130506091135,foc_v22_jing_20130710082723,fna2_v5_jing_20130226072402,fna2_v23_jing_20130301113018,foc_v7_jing_20130426135157,fna2_v3_jing_20130314110323,foc_v13_jing_20130503115239,foc_v25_jing_20130508081633","4baa9569-1ea1-11e4-befc-00266c1d496f"
"appendages","structure","0","foc_v24_jing_20130711072108,foc_v10_jing_20130409171802,foc_v9_jing_20130501080458,foc_v2021_jing_20130507150953,fna2_v26_jing_20130314134608,fna2_v27_jing_20130314153702,fna2_v20_jing_20130228082452,foc_v23_jing_20130507134321,foc_v8_jing_20130430091947,foc_v13_jing_20130503115239,foc_v8_jing_20130430113241,fna2_v19_jing_20130227141308,fna2_v4_jing_20130225160038,foc_v5_jing_20130425141012,fna2_v2_jing_20130402084106,foc_v12_jing_20130502141840,fna2_v7_jing_20130226143722,foc_v25_jing_20130508081633,foc_v18_jing_20130711164425,foc_v22_jing_20130710082723,fna2_v5_jing_20130226072402,fna2_v3_jing_20130314110323,fna2_v21_jing_20130228140000,fna2_v22_jing_20130301080941,fna2_v8_jing_20130227093016,foc_v11_jing_20130502111907,foc_v6_jing_20130515110950,foc_v14_jing_20130506091135,foc_v7_jing_20130426135157","91ab647e-668a-11e3-af11-0026b9326338"
"auricles","structure","0","foc_v2021_jing_20130507150953,foc_v8_jing_20130430091947,fna2_v19_jing_20130227141308,fna2_v8_jing_20130227093016,foc_v8_jing_20130430113241,foc_v12_jing_20130502141840,foc_v22_jing_20130710082723,fna2_v5_jing_20130226072402,fna2_v27_jing_20130314153702,foc_v13_jing_20130503115239,fna2_v20_jing_20130228082452,foc_v23_jing_20130507134321,fna2_v7_jing_20130226143722,fna2_v26_jing_20130314134608,foc_v10_jing_20130409171802,fna2_v23_jing_20130301113018,foc_v4_jing_20130416123440,foc_v24_jing_20130711072108,foc_v6_jing_20130515110950,foc_v7_jing_20130426135157,foc_v25_jing_20130508081633,fna2_v21_jing_20130228140000,fna2_v22_jing_20130301080941,foc_v9_jing_20130501080458,fna2_v2_jing_20130402084106","91abaa1a-668a-11e3-af11-0026b9326338"
"axils","structure","0","foc_v5_jing_20130425141012,foc_v14_jing_20130506091135,foc_v22_jing_20130710082723,foc_v10_jing_20130409171802,foc_v18_jing_20130711164425,foc_v4_jing_20130416123440,fna2_v7_jing_20130226143722,fna2_v26_jing_20130314134608,foc_v25_jing_20130508081633,fna2_v4_jing_20130225160038,foc_v11_jing_20130502111907,foc_v2021_jing_20130507150953,foc_v24_jing_20130711072108,fna2_v21_jing_20130228140000,foc_v6_jing_20130515110950,foc_v7_jing_20130426135157,foc_v12_jing_20130502141840,foc_v13_jing_20130503115239,fna2_v19_jing_20130227141308,fna2_v22_jing_20130301080941,fna2_v8_jing_20130227093016,foc_v9_jing_20130501080458,fna2_v2_jing_20130402084106,foc_v23_jing_20130507134321,fna2_v5_jing_20130226072402,fna2_v27_jing_20130314153702,foc_v8_jing_20130430091947,fna2_v20_jing_20130228082452,fna2_v23_jing_20130301113018,foc_v8_jing_20130430113241,fna2_v3_jing_20130314110323","91abe67e-668a-11e3-af11-0026b9326338"
"bases","structure","0","fna2_v20_jing_20130228082452,foc_v7_jing_20130426135157,foc_v23_jing_20130507134321,foc_v12_jing_20130502141840,fna2_v26_jing_20130314134608,foc_v25_jing_20130508081633,foc_v8_jing_20130430091947,foc_v14_jing_20130506091135,foc_v8_jing_20130430113241,fna2_v5_jing_20130226072402,fna2_v7_jing_20130226143722,fna2_v4_jing_20130225160038,foc_v5_jing_20130425141012,foc_v9_jing_20130501080458,foc_v22_jing_20130710082723,foc_v11_jing_20130502111907,fna2_v27_jing_20130314153702,foc_v4_jing_20130416123440,fna2_v22_jing_20130301080941,fna2_v3_jing_20130314110323,fna2_v23_jing_20130301113018,foc_v13_jing_20130503115239,foc_v24_jing_20130711072108,fna2_v19_jing_20130227141308,foc_v6_jing_20130515110950,foc_v18_jing_20130711164425,fna2_v2_jing_20130402084106,foc_v10_jing_20130409171802,foc_v2021_jing_20130507150953,fna2_v21_jing_20130228140000,fna2_v8_jing_20130227093016","147eff9e-47c5-11e3-a402-0026b9326338"
"blades","structure","0","foc_v11_jing_20130502111907,foc_v8_jing_20130430113241,fna2_v5_jing_20130226072402,fna2_v19_jing_20130227141308,foc_v18_jing_20130711164425,foc_v9_jing_20130501080458,foc_v22_jing_20130710082723,fna2_v26_jing_20130314134608,fna2_v27_jing_20130314153702,foc_v2021_jing_20130507150953,foc_v4_jing_20130416123440,foc_v24_jing_20130711072108,fna2_v21_jing_20130228140000,fna2_v8_jing_20130227093016,foc_v6_jing_20130515110950,fna2_v20_jing_20130228082452,fna2_v7_jing_20130226143722,foc_v10_jing_20130409171802,foc_v7_jing_20130426135157,fna2_v2_jing_20130402084106,foc_v23_jing_20130507134321,foc_v13_jing_20130503115239,fna2_v22_jing_20130301080941,foc_v12_jing_20130502141840,fna2_v4_jing_20130225160038,foc_v14_jing_20130506091135,fna2_v3_jing_20130314110323,fna2_v23_jing_20130301113018,foc_v25_jing_20130508081633,foc_v8_jing_20130430091947,foc_v5_jing_20130425141012","16f98e86-47c7-11e3-a402-0026b9326338"
"bracteoles","structure","0","fna2_v20_jing_20130228082452,foc_v24_jing_20130711072108,foc_v23_jing_20130507134321,fna2_v22_jing_20130301080941,fna2_v4_jing_20130225160038,foc_v10_jing_20130409171802,fna2_v26_jing_20130314134608,foc_v2021_jing_20130507150953,foc_v4_jing_20130416123440,foc_v12_jing_20130502141840,fna2_v7_jing_20130226143722,fna2_v19_jing_20130227141308,foc_v7_jing_20130426135157,foc_v13_jing_20130503115239,foc_v5_jing_20130425141012,foc_v14_jing_20130506091135,foc_v11_jing_20130502111907,fna2_v3_jing_20130314110323,fna2_v2_jing_20130402084106,foc_v6_jing_20130515110950,foc_v8_jing_20130430091947,foc_v9_jing_20130501080458,foc_v8_jing_20130430113241,fna2_v8_jing_20130227093016,foc_v18_jing_20130711164425,fna2_v5_jing_20130226072402","4baa9737-1ea1-11e4-befc-00266c1d496f"
